video,game_id,play_id,team_id,play_type,league,view,has_gt,gt_snap_time,pred_time_sec,error_sec,detected
1_25897_5708256_7_SL.mp4,25897,5708256,7,R,NFL,SL,True,5.87,5.739072405739073,0.1309275942609273,True
1_25961_5884286_13_SL.mp4,25961,5884286,13,R,NFL,SL,True,2.79,2.8028028028028027,0.0128028028028026,True
1_26010_6011544_30_SL.mp4,26010,6011544,30,KICKOFF,NFL,SL,True,10.75,1.8685352018685355,8.881464798131464,True
1_26010_6012196_30_SL.mp4,26010,6012196,30,KICKOFF,NFL,SL,True,15.3,20.82082082082082,5.52082082082082,True
1_26010_6012314_30_SL.mp4,26010,6012314,30,P,NFL,SL,True,9.75,9.876543209876544,0.1265432098765444,True
1_26011_6014356_32_SL.mp4,26011,6014356,32,KICKOFF,NFL,SL,True,8.08,8.408408408408409,0.3284084084084089,True
1_26011_6015286_32_SL.mp4,26011,6015286,32,P,NFL,SL,True,6.56,6.673340006673341,0.1133400066733409,True
1_26015_6018914_22_SL.mp4,26015,6018914,22,P,NFL,SL,True,6.93,6.9402736069402735,0.0102736069402737,True
1_26015_6019045_22_SL.mp4,26015,6019045,22,KICKOFF,NFL,SL,True,14.19,14.414414414414416,0.2244144144144151,True
1_26015_6019228_22_SL.mp4,26015,6019228,22,KICKOFF,NFL,SL,True,8.66,9.075742409075742,0.415742409075742,True
1_26032_6090303_5_SL.mp4,26032,6090303,5,R,NFL,SL,True,2.05,2.135468802135469,0.0854688021354692,True
1_26060_6145493_8_SL.mp4,26060,6145493,8,R,NFL,SL,True,5.33,5.472138805472139,0.1421388054721388,True
1_26062_6182705_13_SL.mp4,26062,6182705,13,KICKOFF,NFL,SL,True,5.08,5.3386720053386725,0.2586720053386724,True
1_26062_6182745_13_SL.mp4,26062,6182745,13,KICKOFF,NFL,SL,True,4.35,4.938271604938272,0.5882716049382726,True
1_26062_6185065_13_SL.mp4,26062,6185065,13,KICKOFF,NFL,SL,True,4.63,4.938271604938272,0.3082716049382723,True
1_26062_6185424_13_SL.mp4,26062,6185424,13,KICKOFF,NFL,SL,True,3.84,4.270937604270938,0.4309376042709383,True
1_26082_6216182_22_SL.mp4,26082,6216182,22,P,NFL,SL,True,8.74,11.21121121121121,2.4712112112112106,True
1_26082_6216420_22_SL.mp4,26082,6216420,22,KICKOFF,NFL,SL,True,10.82,11.077744411077743,0.2577444110777449,True
1_26098_6228157_16_SL.mp4,26098,6228157,16,KICKOFF,NFL,SL,True,4.48,4.270937604270938,0.2090623957290622,True
1_26098_6228406_16_SL.mp4,26098,6228406,16,P,NFL,SL,True,7.66,7.607607607607608,0.0523923923923925,True
1_26103_6233473_10_SL.mp4,26103,6233473,10,P,NFL,SL,True,6.75,6.806806806806807,0.056806806806807,True
1_26119_6242471_4_SL.mp4,26119,6242471,4,KICKOFF,NFL,SL,True,4.69,4.938271604938272,0.2482716049382718,True
1_26119_6242758_4_SL.mp4,26119,6242758,4,KICKOFF,NFL,SL,True,5.32,3.8705372038705375,1.4494627961294628,True
1_26119_6243729_4_SL.mp4,26119,6243729,4,KICKOFF,NFL,SL,True,3.97,4.671338004671338,0.7013380046713382,True
1_26153_6265623_11_SL.mp4,26153,6265623,11,P,NFL,SL,True,7.64,7.607607607607608,0.0323923923923921,True
1_26153_6265671_11_SL.mp4,26153,6265671,11,KICKOFF,NFL,SL,True,4.25,3.603603603603604,0.6463963963963963,True
1_26164_5591757_6_SL.mp4,26164,5591757,6,R,NFL,SL,True,8.55,8.541875208541876,0.0081247914581243,True
1_26193_5611997_4_SL.mp4,26193,5611997,4,P,NFL,SL,True,6.58,6.539873206539873,0.0401267934601268,True
1_26195_5612981_9_SL.mp4,26195,5612981,9,KICKOFF,NFL,SL,True,4.95,4.804804804804805,0.1451951951951953,True
1_26195_5613361_9_SL.mp4,26195,5613361,9,P,NFL,SL,True,2.68,2.8028028028028027,0.1228028028028025,True
1_26195_5613397_9_SL.mp4,26195,5613397,9,KICKOFF,NFL,SL,True,12.48,12.812812812812814,0.3328128128128131,True
1_27073_5607114_31_SL.mp4,27073,5607114,31,P,NFL,SL,True,0.06,6.139472806139473,6.079472806139473,True
2_26228_5631838_173_SL.mp4,26228,5631838,173,KICKOFF,NCAA,SL,True,15.83,15.749082415749085,0.0809175842509173,True
2_26228_5632895_173_SL.mp4,26228,5632895,173,KICKOFF,NCAA,SL,True,11.82,11.745078411745078,0.0749215882549219,True
2_26228_5634374_173_SL.mp4,26228,5634374,173,P,NCAA,SL,True,10.34,10.543877210543878,0.2038772105438777,True
2_26264_5638021_256_SL.mp4,26264,5638021,256,R,NCAA,SL,True,4.42,4.404404404404405,0.0155955955955953,True
